
hshd_num,basket_num,purchase_date,product_num,spend,units
2,577,17-AUG-18,83652,0.59,1,CENTRAL,32,2018
9,1916,17-AUG-18,6157725,3.49,1,WEST   ,32,2018
16,514,17-AUG-18,654479,2.24,1,CENTRAL,32,2018
16,514,17-AUG-18,8118,5.39,1,CENTRAL,32,2018
25,361,17-AUG-18,94343,1.0,1,SOUTH  ,32,2018
25,361,17-AUG-18,5265075,1.49,1,SOUTH  ,32,2018
29,1034,17-AUG-18,766883,0.99,1,EAST   ,32,2018
37,2004,17-AUG-18,2200811,5.99,1,EAST   ,32,2018
49,242,17-AUG-18,5556999,2.99,1,EAST   ,32,2018
50,1195,17-AUG-18,3774346,6.89,2,EAST   ,32,2018
52,117,17-AUG-18,4960255,6.02,1,EAST   ,32,2018
54,4214,17-AUG-18,6428545,1.5,1,CENTRAL,32,2018
58,4725,17-AUG-18,91412,4.74,1,CENTRAL,32,2018
66,1265,17-AUG-18,6683683,0.98,2,EAST   ,32,2018
75,4414,17-AUG-18,5803768,1.5,1,CENTRAL,32,2018
77,3758,17-AUG-18,4081449,3.41,1,CENTRAL,32,2018
84,1015,17-AUG-18,2476430,1.49,1,EAST   ,32,2018
87,4085,17-AUG-18,951285,6.99,1,CENTRAL,32,2018
106,3267,17-AUG-18,99722,2.69,1,SOUTH  ,32,2018
138,1861,18-AUG-18,5509925,1.99,1,SOUTH  ,32,2018
143,2629,18-AUG-18,5642318,3.99,1,WEST   ,32,2018
144,3785,18-AUG-18,4135714,6.99,1,EAST   ,32,2018
155,4218,17-AUG-18,957035,3.99,1,EAST   ,32,2018
176,1895,18-AUG-18,5399605,1.67,1,EAST   ,32,2018
187,4264,18-AUG-18,98905,1.99,1,EAST   ,32,2018
188,3895,18-AUG-18,5110749,0.99,2,SOUTH  ,32,2018
195,2780,18-AUG-18,96136,2.58,2,WEST   ,32,2018
196,4414,18-AUG-18,6405429,14.99,1,CENTRAL,32,2018
200,1205,18-AUG-18,401069,2.0,2,EAST   ,32,2018
201,762,18-AUG-18,99323,2.99,1,CENTRAL,32,2018
202,2710,18-AUG-18,6594456,10.0,1,WEST   ,32,2018
210,2175,18-AUG-18,635865,1.99,1,WEST   ,32,2018
221,1433,18-AUG-18,5781775,5.98,2,WEST   ,32,2018
230,3496,18-AUG-18,6417551,1.0,1,SOUTH  ,32,2018
243,2291,18-AUG-18,1084632,2.99,1,SOUTH  ,32,2018
243,2291,18-AUG-18,4153044,4.99,1,SOUTH  ,32,2018
248,3246,18-AUG-18,101331,3.49,1,SOUTH  ,32,2018
249,2375,18-AUG-18,1150551,17.99,1,WEST   ,32,2018
254,1120,18-AUG-18,5290847,4.26,1,EAST   ,32,2018
261,1795,19-AUG-18,9276,0.99,2,WEST   ,33,2018
263,789,19-AUG-18,1350887,7.59,1,CENTRAL,33,2018
271,3582,19-AUG-18,6051276,13.98,2,SOUTH  ,33,2018
272,4974,19-AUG-18,726559,3.29,1,CENTRAL,33,2018
275,4757,19-AUG-18,725423,0.89,1,CENTRAL,33,2018
